tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,-4.58401,-1.55334,190.0,0.000425532,0.000425532,-4.22087E-21
yellow,-7.46477,-2.8123,191.0,0.000540541,0.000540541,-1.41264E-20
blue,-12.9654,-3.00097,192.0,0.0205714,0.0205714,1.72062E-18
yellow,-6.43539,-1.94291,193.0,0.00558824,0.00558824,6.98872E-20
blue,-7.28971,2.1197,194.0,0.000465116,0.000465116,7.77733E-21
blue,-11.3459,-0.945621,195.0,0.000540541,0.000540541,1.16287E-20
yellow,-9.10134,-5.25428,196.0,0.0008,0.0008,-1.22651E-20
blue,-0.710178,2.50631,197.0,0.00047619,0.00047619,4.70636E-22
blue,-9.54821,0.67385,198.0,0.000571429,0.000571429,-7.90217E-21
blue,-4.2127,2.68365,199.0,0.0005,0.0005,-6.23466E-21
orange,7.34078,1.41254,200.0,0.00166667,0.00166667,6.51543E-21
car_start,4.0,0.0,201.0,0.0,0.0,0.0
